DI3,DI2,DI1,DI0,数据格式,长度,单位,读,写,数据项名称,数据
0,0,0,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功总电能,
0,0,1,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功费率1电能,
0,0,2,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功费率2电能,
0,0,3,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功费率3电能,
0,0,4,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功费率4电能,
0,0,FF,0,XXXXXX.XX,4,kWh,*,,(当前)组合有功电能数据块,
0,1,0,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功总电能,
0,1,1,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功费率1电能,
0,1,2,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功费率2电能,
0,1,3,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功费率3电能,
0,1,4,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功费率4电能,
0,1,FF,0,XXXXXX.XX,4,kWh,*,,(当前)正向有功电能数据块,
0,2,0,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功总电能,
0,2,1,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功费率1电能,
0,2,2,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功费率2电能,
0,2,3,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功费率3电能,
0,2,4,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功费率4电能,
0,2,FF,0,XXXXXX.XX,4,kWh,*,,(当前)反向有功电能数据块,
0,3,0,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1总电能,
0,3,1,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1费率1电能,
0,3,2,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1费率2电能,
0,3,3,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1费率3电能,
0,3,4,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1费率4电能,
0,3,FF,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功1电能数据块,
0,4,0,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2总电能,
0,4,1,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2费率1电能,
0,4,2,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2费率2电能,
0,4,3,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2费率3电能,
0,4,4,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2费率4电能,
0,4,FF,0,XXXXXX.XX,4,kvarh,*,,(当前)组合无功2电能数据块,
0,5,0,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功总电能,
0,5,1,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功费率1电能,
0,5,2,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功费率2电能,
0,5,3,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功费率3电能,
0,5,4,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功费率4电能,
0,5,FF,0,XXXXXX.XX,4,kvarh,*,,(当前)第一象限无功电能数据块,
0,6,0,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功总电能,
0,6,1,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功费率1电能,
0,6,2,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功费率2电能,
0,6,3,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功费率3电能,
0,6,4,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功费率4电能,
0,6,FF,0,XXXXXX.XX,4,kvarh,*,,(当前)第二象限无功电能数据块,
0,7,0,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功总电能,
0,7,1,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功费率1电能,
0,7,2,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功费率2电能,
0,7,3,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功费率3电能,
0,7,4,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功费率4电能,
0,7,FF,0,XXXXXX.XX,4,kvarh,*,,(当前)第三象限无功电能数据块,
0,8,0,0,XXXXXX.XX,4,kvarh,*,,(当前)第四象限无功总电能,
0,8,1,0,XXXXXX.XX,4,kvarh,*,,(当前)第四象限无功费率1电能,
