DI3,DI2,DI1,DI0,数据格式,长度,单位,读,写,数据项名称,数据
4,0,1,1,YYMMDDWW,4,年月日星期,*,*,日期及星期(其中0代表星期天),
4,0,1,2,hhmmss,3,时分秒,*,*,时间,
4,0,1,3,NN,1,分,*,*,最大需量周期,
4,0,1,4,NN,1,分,*,*,滑差时间,
4,0,1,5,XXXX,2,毫秒,*,,校表脉冲宽度,
4,0,1,6,YYMMDDhhmm,5,年月日时分,*,*,两套时区表切换时间,
4,0,1,7,YYMMDDhhmm,5,年月日时分,*,*,两套日时段切换时间,
4,0,2,1,NN,1,个,*,*,年时区数p≤14,
4,0,2,2,NN,1,个,*,*,日时段表数q≤8,
4,0,2,3,NN,1,个,*,*,日时段数(每日切换数)m≤14,
4,0,2,4,NN,1,个,*,*,费率数k≤63,
4,0,2,5,NNNN,2,个,*,*,公共假日数n≤254,
4,0,2,6,NN,1,次,*,*,谐波分析次数,
4,0,3,1,NN,1,个,*,*,自动循环显示屏数,
4,0,3,2,NN,1,秒,*,*,每屏显示时间,
4,0,3,3,NN,1,位,*,*,显示电能小数位数,
4,0,3,4,NN,1,位,*,*,显示功率（最大需量）小数位数,
4,0,3,5,NN,1,个,*,*,按键循环显示屏数,
4,9,1,1,NNN.N,2,V,*,*,失压事件电压触发上限,
4,9,1,2,NNN.N,2,V,*,*,失压事件电压恢复下限,
4,9,1,3,NN.NNNN,3,A,*,*,失压事件电流触发下限,
4,9,1,4,NN,1,秒,*,*,失压事件判定延时时间,
4,9,2,1,NNN.N,2,V,*,*,欠压事件电压触发上限,
4,9,2,2,NN,1,秒,*,*,欠压事件判定延时时间,
4,9,3,1,NNN.N,2,V,*,*,过压事件电压触发下限,
4,9,3,2,NN,1,秒,*,*,过压事件判定延时时间,
4,9,4,1,NNN.N,2,V,*,*,断相事件电压触发上限,
4,9,4,2,NN.NNNN,3,A,*,*,断相事件电流触发上限,
4,9,4,3,NN,1,秒,*,*,断相事件判定延时时间,
4,9,5,1,NN.NN,2,%,*,*,电压不平衡率限值,
4,9,5,2,NN,1,秒,*,*,电压不平衡率判定延时时间,
4,9,6,1,NN.NN,2,%,*,*,电流不平衡率限值,
4,9,6,2,NN,1,秒,*,*,电流不平衡率判定延时时间,
4,9,7,1,NNN.N,2,V,*,*,失流事件电压触发下限,
4,9,7,2,NN.NNNN,3,A,*,*,失流事件电流触发上限,
4,9,7,3,NN.NNNN,3,A,*,*,失流事件电流触发下限,
4,9,7,4,NN,1,秒,*,*,失流事件判定延时时间,
4,9,8,1,NNN.N,2,A,*,*,过流事件电流触发下限,
4,9,8,2,NN,1,秒,*,*,过流事件判定延时时间,
4,9,9,1,NNN.N,2,V,*,*,断流事件电压触发下限,
4,9,9,2,NN.NNNN,3,A,*,*,断流事件电流触发上限,
4,9,9,3,NN,1,秒,*,*,断流事件判定延时时间,
4,9,0A,1,NN.NNNN,3,kW,*,*,潮流反向事件有功功率触发下限,
4,9,1A,2,NN,1,秒,*,*,潮流反向事件判定延时时间,
4,9,0B,1,NN.NNNN,3,kW,*,*,过载事件有功功率触发下限,
4,9,1B,2,NN,1,秒,*,*,过载事件判定延时时间,
4,9,0C,1,NNN.N,2,V,*,*,电压考核上限,
4,9,1C,2,NNN.N,2,V,*,*,电压考核下限,
4,9,0D,1,NN.NNNN,3,kW,*,*,有功需量超限事件需量触发下限,
4,9,1D,2,NN.NNNN,3,kVar,*,*,无功需量超限事件需量触发下限,
4,9,2D,3,NN,1,秒,*,*,需量超限事件判定延时时间,
4,9,0E,1,N.NNN,2,,*,*,总功率因数超下限阀值,
4,9,1E,2,NN,1,秒,*,*,总功率因数超下限判定延时时间,
4,9,0F,1,NN.NN,2,%,*,*,电流严重不平衡限值,
4,9,1F,2,NN,1,秒,*,*,电流严重不平衡触发延时时间,
